Brand,Product,Price,True_size_feeling,True_width_feeling,Arch_support,Comfort_rating,Style_rating,Overall_rating,Review_text
adidas,Samba® Classic,70,73,82,62,3,4,3,
adidas,Samba® Classic,70,73,82,62,5,3,4,
adidas,Samba® Classic,70,73,82,62,3,4,4,
adidas,Samba® Classic,70,73,82,62,4,4,4,
adidas,Samba® Classic,70,73,82,62,5,5,5,
adidas,Samba® Classic,70,73,82,62,5,5,5,
adidas,Samba® Classic,70,73,82,62,5,5,5,
adidas,Samba® Classic,70,73,82,62,5,5,5,
adidas,Samba® Classic,70,73,82,62,5,5,5,
adidas,Samba® Classic,70,73,82,62,5,5,5,
adidas,Samba® Classic,70,73,82,62,5,5,5,
adidas,Samba® Classic,70,73,82,62,5,5,5,
adidas,Samba® Classic,70,73,82,62,4,5,5,
adidas,Samba® Classic,70,73,82,62,5,5,5,
adidas,Samba® Classic,70,73,82,62,5,5,5,
adidas,Samba® Classic,70,73,82,62,4,5,4,If you are looking for a smart footwear to to wear with any of your jeans then this is the one. Simple and comfortable.
adidas,Samba® Classic,70,73,82,62,5,4,5,"A high school classic back in style - 
This was always one of my favorite shoes back in high school so how stoked was I when I saw it on sale on zappos.com?!?! It's exactly as I remember - SO comfortable and you can wear it with just about anything - too bad my boss doesn't think so . . ."
adidas,Samba® Classic,70,73,82,62,5,5,5,"The Shoes. Ah, the shoes.
What can I say? Perfect fit for a guy like me.
150 lb 5'7 and packed with fury and rage.
Highly recommended for those who dress casual (not boot casual, but like jeans, shirt/jacked etc). 
One thing I dislike is the fact that the front leather (mine is light color) is difficult to clean. Other than that, these shoes are sweet, a must buy!!!"
adidas,Samba® Classic,70,73,82,62,4,5,5,"Great Shoe - 
This shoe is the best adidas shoe out there. They are extremely comfortable(especially when first purchased), they look stylin' with any wear (shorts, pants) and they have extremely good traction for and mold to your feet (great for playing indoor and street soccer).
The only ""constructive criticisms"" I can think of is that after about five or so months the inside wears out and the soles get holes. (Keep in mind this is after wearing them everyday for 5 months.)"
adidas,Samba® Classic,70,73,82,62,5,5,5,"I bought these shoes to wear while biking and they are perfect!  Very light and comfortable, and they slide easily and comfortable into the toe clips.  The top of the shoe can be a bit uncomfortable for the first few days, so I recommend wearing higher socks so it does not rub against your skin.  It only takes a few days before they are completely broken in and you can return to wearing ankle socks."
adidas,Samba® Classic,70,73,82,62,5,5,5,"Great shoe. Used for running, life style, and work (outdoors). Lasted about a year before serious wear showed but they still function after 2 years."
adidas,Tech Response,49.99,81,86,81,5,5,5,
adidas,Superstar 2,80,72,85,60,1,1,1,
adidas,Superstar 2,80,72,85,60,2,5,3,
adidas,Superstar 2,80,72,85,60,5,5,4,
adidas,Superstar 2,80,72,85,60,5,5,4,
adidas,Superstar 2,80,72,85,60,5,5,5,
adidas,Superstar 2,80,72,85,60,5,5,5,
adidas,Superstar 2,80,72,85,60,5,5,5,
adidas,Superstar 2,80,72,85,60,4,5,5,
adidas,Superstar 2,80,72,85,60,5,5,5,
adidas,Superstar 2,80,72,85,60,5,5,5,
adidas,Superstar 2,80,72,85,60,5,5,5,
adidas,Superstar 2,80,72,85,60,5,5,5,
adidas,Superstar 2,80,72,85,60,5,5,5,
adidas,Superstar 2,80,72,85,60,5,5,5,
adidas,Superstar 2,80,72,85,60,5,4,5,
adidas,Superstar 2,80,72,85,60,3,5,3,Love Adidas Superstar. I've been wearing this style for years. Only negative thing is the width is tight.
adidas,Superstar 2,80,72,85,60,5,5,5,"Classic Adidas lover - 
I just had to have these shoes once I laid my eyes on them and I am completely happy that I got them. Not only are they comfortable, they are indeed fabulous to look at and Adidas is one of the best brands to wear. Plus delivery was top notch."
adidas,Superstar 2,80,72,85,60,5,5,5,This shoes is extremely comfortable and looks great! Make sure to buy half size than your regular size because these shoes run small.
adidas,Superstar 2,80,72,85,60,5,5,5,"Love these shoes, I have been buying these shoes since I was in high school.  You can walk for hours in them with out your feet getting tired.  I would say this is a good shoe for people with normal to wide feet, if your feet are super narrow it may not work."
adidas,Superstar 2,80,72,85,60,5,5,5,Love them!! Used to have them when I worked in a sporting good store in high school. That was almost 30 years ago. Brought back great memory's  they rock!!
adidas,Superstar 2,80,72,85,60,5,5,5,I am very pleased with Zappos' service. The shoes came about three days after I ordered them and I was very pleased with my purchase!
adidas,UltraBOOST,180,68,93,63,5,5,5,
adidas,UltraBOOST,180,68,93,63,5,5,5,
ASICS,GEL-Venture® 6,47.95,88,92,83,3,5,2,
ASICS,GEL-Cumulus® 20,79.95,68,76,84,5,5,5,
ASICS,GEL-Venture® 6,47.95,88,92,83,4,4,4,
ASICS,GEL-Venture® 6,47.95,88,92,83,5,4,4,
ASICS,GEL-Venture® 6,47.95,88,92,83,4,5,4,
ASICS,GEL-Venture® 6,47.95,88,92,83,5,5,5,
ASICS,GEL-Venture® 6,47.95,88,92,83,5,5,5,
ASICS,GEL-Venture® 6,47.95,88,92,83,5,5,5,
ASICS,GEL-Venture® 6,47.95,88,92,83,5,5,5,
ASICS,GEL-Venture® 6,47.95,88,92,83,5,5,5,
ASICS,GEL-Venture® 6,47.95,88,92,83,5,5,5,
ASICS,GEL-Venture® 6,47.95,88,92,83,5,5,5,
ASICS,GEL-Venture® 6,47.95,88,92,83,4,5,5,
ASICS,GT-1000 7,67.5,86,78,76,4,5,4,
ASICS,GT-1000 7,67.5,86,78,76,5,5,5,
ASICS,GEL-Kayano® 25,119.95,87,88,68,2,1,1,
ASICS,GEL-Kayano® 25,119.95,87,88,68,5,4,5,
ASICS,GEL-Kayano® 25,119.95,87,88,68,5,5,5,
Brooks,Ghost 11,120,88,95,79,5,5,4,
Brooks,Beast '18,160,87,88,55,1,1,2,
Brooks,Beast '18,160,87,88,55,4,4,4,
Brooks,Beast '18,160,87,88,55,5,5,5,
Brooks,Beast '18,160,87,88,55,5,5,5,
Brooks,Ghost 11,120,88,95,79,5,4,5,
Brooks,Ghost 11,120,88,95,79,5,5,5,
Brooks,Ghost 11,120,88,95,79,5,5,5,
Brooks,Ghost 11,120,88,95,79,3,5,5,
Brooks,Ghost 11,120,88,95,79,5,5,5,
Brooks,Ghost 11,120,88,95,79,4,4,5,
Brooks,Ghost 11,120,88,95,79,4,5,5,
Brooks,Ghost 11,120,88,95,79,5,5,5,
Brooks,Ghost 11,120,88,95,79,5,5,5,
Brooks,Addiction™ Walker,120,88,89,,1,4,1,
Brooks,Adrenaline GTS 19,130,94,93,76,3,4,3,
Brooks,Adrenaline GTS 19,130,94,93,76,5,5,5,
Brooks,Adrenaline GTS 19,130,94,93,76,5,5,5,
Brooks,Addiction™ Walker,120,88,89,,5,3,1,
Brooks,Addiction™ Walker,120,88,89,,5,5,2,
Brooks,Addiction™ Walker,120,88,89,,3,2,3,
Brooks,Addiction™ Walker,120,88,89,,4,5,4,
Brooks,Addiction™ Walker,120,88,89,,4,4,4,
Brooks,Addiction™ Walker,120,88,89,,5,4,4,
Brooks,Addiction™ Walker,120,88,89,,5,5,4,
Brooks,Addiction™ Walker,120,88,89,,4,5,4,
Brooks,Addiction™ Walker,120,88,89,,5,5,5,
Brooks,Addiction™ Walker,120,88,89,,5,5,5,
Brooks,Addiction™ Walker,120,88,89,,4,5,5,
Brooks,Addiction™ Walker,120,88,89,,5,5,5,
Brooks,Addiction™ Walker,120,88,89,,5,5,5,
Brooks,Addiction™ Walker,120,88,89,,5,5,5,
Brooks,Addiction™ Walker,120,88,89,,5,5,5,
Brooks,Addiction™ Walker,120,88,89,,5,5,5,
